logFC	Gene.symbol	Gene.title
-0,85	UBL3	ubiquitin like 3
-18587854,00	CLU	clusterin
-10777069,00	FGFR2	fibroblast growth factor receptor 2
-0,45	PRDM2	PR/SET domain 2
-10536192,00	HYAL2	hyaluronoglucosaminidase 2
-0,79	NOTCH1	notch 1
-0,56	SAP18	Sin3A associated protein 18
-0,56	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
-0,42	SLC48A1	solute carrier family 48 member 1
-0,72	SMARCA2	SWI/SNF related
-0,95	AKAP13	A-kinase anchoring protein 13
-15475211,00	PCOLCE2	procollagen C-endopeptidase enhancer 2
-0,88	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3	protocadherin gamma subfamily A
-0,55	TMEM74B	transmembrane protein 74B
-0,57	C1orf21	chromosome 1 open reading frame 21
-0,99	MACF1	microtubule-actin crosslinking factor 1
-16478748,00	TMEM47	transmembrane protein 47
-0,88	TTC28	tetratricopeptide repeat domain 28
-16692535,00	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6
-0,72	SH2B3	SH2B adaptor protein 3
-0,67	SPTAN1	spectrin alpha
-14036143,00	KLF9	Kruppel like factor 9
-0,53	RAPGEF3	Rap guanine nucleotide exchange factor 3
-0,95	CTDSPL	CTD small phosphatase like
-0,51	TNFSF12-TNFSF13///TNFSF12	TNFSF12-TNFSF13 readthrough///tumor necrosis factor superfamily member 12
-10960722,00	PMP22	peripheral myelin protein 22
-0,72	MVB12B	multivesicular body subunit 12B
-0,89	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3	protocadherin gamma subfamily A
-0,77	PRX	periaxin
-1577524,00	MAOA	monoamine oxidase A
-13064906,00	NEBL	nebulette
-0,80	FYN	FYN proto-oncogene
-19370912,00	SLC1A1	solute carrier family 1 member 1
-0,97	GPM6B	glycoprotein M6B
-10760643,00	ARHGAP44	Rho GTPase activating protein 44
-11949755,00	HLF	HLF
-0,75	ID4	inhibitor of DNA binding 4
-0,67	SIK2	salt inducible kinase 2
-15880016,00	EFEMP1	EGF containing fibulin like extracellular matrix protein 1
-0,52	TSC1	tuberous sclerosis 1
-0,71	STX11	syntaxin 11
-11675235,00	SOBP	sine oculis binding protein homolog
-11897459,00	SERPING1	serpin family G member 1
-0,85	ARHGEF10	Rho guanine nucleotide exchange factor 10
-0,95	GPM6B	glycoprotein M6B
-0,51	PRKCQ	protein kinase C theta
-1775566,00	C7	complement component 7
-0,67	FGF2	fibroblast growth factor 2
-0,84	ROR1	receptor tyrosine kinase like orphan receptor 1
-0,84	HSDL2	hydroxysteroid dehydrogenase like 2
-0,88	JAM3	junctional adhesion molecule 3
-10022891,00	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
-1088758,00	MIR6883///PER1	microRNA 6883///period circadian clock 1
-0,74	TBC1D2	TBC1 domain family member 2
-0,60	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3
-0,78	DUOX1	dual oxidase 1
-1138426,00	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
-13751807,00	HBEGF	heparin binding EGF like growth factor
-0,99	WISP2	WNT1 inducible signaling pathway protein 2
-13894572,00	LDLR	low density lipoprotein receptor
-11096545,00	PRELP	proline and arginine rich end leucine rich repeat protein
-0,62	MAPRE2	microtubule associated protein RP/EB family member 2
-0,86	SIDT2	SID1 transmembrane family member 2
-0,81	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
-19782463,00	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6
-0,63	ROBO4	roundabout guidance receptor 4
-0,61	ABCA6	ATP binding cassette subfamily A member 6
-15216699,00	KLF9	Kruppel like factor 9
-16698808,00	CA2	carbonic anhydrase 2
-10534033,00	FOXF2	forkhead box F2
-0,79	ZCCHC24	zinc finger CCHC-type containing 24
-10919317,00	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1
-18811639,00	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
-0,72	NCOA1	nuclear receptor coactivator 1
-14898208,00	SEMA6A	semaphorin 6A
-0,68	PTPRN2	protein tyrosine phosphatase
-0,70	AGTPBP1	ATP/GTP binding protein 1
-0,87	VGLL3	vestigial like family member 3
-0,70	STON1	stonin 1
-0,59	ERG	ERG
-0,84	NES	nestin
-10718804,00	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
-1325645,00	AK1	adenylate kinase 1
-15220936,00	CALCRL	calcitonin receptor like receptor
-11962547,00	NRN1	neuritin 1
